"","Latitude","Longitude","mean_hum","mean_temp"
"1","-0.952368","0.000000E+00",0.0175685515258216,298.855882629108
"2","-0.952368","1.87500",0.0178160904929577,298.991725352113
"3","-0.952368","101.250",0.0184594529342723,297.047752347418
"4","-0.952368","103.125",0.018880889084507,297.517223004695
"5","-0.952368","105.000",0.0191904806338028,300.053082159624
"6","-0.952368","106.875",0.0190680984741784,300.928531690141
"7","-0.952368","108.750",0.0190110233568075,300.346624413146
"8","-0.952368","11.2500",0.016424709741784,296.106295774648
"9","-0.952368","110.625",0.0192535618544601,297.871607981221
"10","-0.952368","112.500",0.0183948947183099,296.571899061033
"11","-0.952368","114.375",0.0181442083333333,296.275126760563
"12","-0.952368","116.250",0.0191823994131455,297.683100938967
"13","-0.952368","118.125",0.0189611186619718,299.279542253521
"14","-0.952368","120.000",0.0179099937793427,298.062276995305
"15","-0.952368","121.875",0.0177346632629108,297.950134976526
"16","-0.952368","123.750",0.0186507036384977,299.549242957746
"17","-0.952368","125.625",0.0189241881455399,300.401158450704
"18","-0.952368","127.500",0.0186772393192488,300.246592723005
"19","-0.952368","129.375",0.018874575,300.105611502347
"20","-0.952368","13.1250",0.0164633332159624,295.286985915493
"21","-0.952368","131.250",0.0191076167840376,299.637649061033
"22","-0.952368","133.125",0.0192677707746479,298.181103286385
"23","-0.952368","135.000",0.0188443473004695,299.477950704225
"24","-0.952368","136.875",0.0189883167840376,300.26263028169
"25","-0.952368","138.750",0.0192561012910798,300.645234741784
"26","-0.952368","140.625",0.0195233562206573,301.098154929577
"27","-0.952368","142.500",0.0196517313380282,301.699948356808
"28","-0.952368","144.375",0.0195414674882629,301.810352112676
"29","-0.952368","146.250",0.0192672825117371,301.465732394366
"30","-0.952368","148.125",0.0190127181924883,301.142724178404
"31","-0.952368","15.0000",0.0171021590375587,295.745355633803
"32","-0.952368","150.000",0.0189027571596244,301.009118544601
"33","-0.952368","151.875",0.0189653252347418,301.106584507042
"34","-0.952368","153.750",0.0190927449530516,301.356082159624
"35","-0.952368","155.625",0.0191682660798122,301.451830985915
"36","-0.952368","157.500",0.0191457670187793,301.284955399061
"37","-0.952368","159.375",0.019106260915493,301.110653755869
"38","-0.952368","16.8750",0.0177170670187793,296.574242957746
"39","-0.952368","161.250",0.019146813028169,301.146809859155
"40","-0.952368","163.125",0.0191977656103286,301.264259389671
"41","-0.952368","165.000",0.0191627721830986,301.216453051643
"42","-0.952368","166.875",0.0191209994131455,301.065314553991
"43","-0.952368","168.750",0.019125760915493,301.030221830986
"44","-0.952368","170.625",0.0190938177230047,301.047475352113
"45","-0.952368","172.500",0.0190506149061033,300.991484741784
"46","-0.952368","174.375",0.0190457829812207,300.947261737089
"47","-0.952368","176.250",0.0189815900234742,300.909075117371
"48","-0.952368","178.125",0.018880613028169,300.787286384977
"49","-0.952368","18.7500",0.0181974519953052,297.102583333333
"50","-0.952368","180.000",0.0188796177230047,300.723666666667
"51","-0.952368","181.875",0.0188897134976526,300.754430751174
"52","-0.952368","183.750",0.0187714078638498,300.643853286385
"53","-0.952368","185.625",0.0186587444835681,300.43451056338
"54","-0.952368","187.500",0.0186431379107981,300.358482394366
"55","-0.952368","189.375",0.0185662707746479,300.269198356808
"56","-0.952368","191.250",0.018414157629108,300.055117370892
"57","-0.952368","193.125",0.0183705266431925,299.997742957746
"58","-0.952368","195.000",0.018372975,300.053768779343
"59","-0.952368","196.875",0.0182453083333333,299.900399061033
"60","-0.952368","198.750",0.0181181942488263,299.729223004695
"61","-0.952368","20.6250",0.0181714839201878,296.764616197183
"62","-0.952368","200.625",0.0180993477699531,299.754642018779
"63","-0.952368","202.500",0.0180027200704225,299.647613849765
"64","-0.952368","204.375",0.017840613028169,299.402360328639
"65","-0.952368","206.250",0.0178065468309859,299.398784037559
"66","-0.952368","208.125",0.0177707473004695,299.443955399061
"67","-0.952368","210.000",0.017634954342723,299.259965962441
"68","-0.952368","211.875",0.0175718933098592,299.172765258216
"69","-0.952368","213.750",0.0175106289906103,299.197604460094
"70","-0.952368","215.625",0.0173453003521127,299.029550469484
"71","-0.952368","217.500",0.0173040735915493,298.925330985915
"72","-0.952368","219.375",0.0173303595070423,298.996044600939
"73","-0.952368","22.5000",0.0180008435446009,296.415199530516
"74","-0.952368","221.250",0.0171263444835681,298.781685446009
"75","-0.952368","223.125",0.0169472951877934,298.48508685446
"76","-0.952368","225.000",0.0170237876760563,298.594974178404
"77","-0.952368","226.875",0.0169562688967136,298.587327464789
"78","-0.952368","228.750",0.0166835754694836,298.156884976526
"79","-0.952368","230.625",0.0166190106807512,297.986041079812
"80","-0.952368","232.500",0.0167011421361502,298.14619600939
"81","-0.952368","234.375",0.0166185787558685,298.062180751174
"82","-0.952368","236.250",0.016493489084507,297.859920187793
"83","-0.952368","238.125",0.0165045947183099,297.883854460094
"84","-0.952368","24.3750",0.0180013970657277,296.290638497653
"85","-0.952368","240.000",0.0165465642018779,297.904178403756
"86","-0.952368","241.875",0.0164626186619718,297.70728286385
"87","-0.952368","243.750",0.0162859177230047,297.460589201878
"88","-0.952368","245.625",0.016209795657277,297.336862676056
"89","-0.952368","247.500",0.0162575257042254,297.308377934272
"90","-0.952368","249.375",0.0162620167840376,297.267280516432
"91","-0.952368","251.250",0.0162674073943662,297.266781690141
"92","-0.952368","253.125",0.0162909134976526,297.248744131455
"93","-0.952368","255.000",0.0161117440140845,296.944893192488
"94","-0.952368","256.875",0.0159082604460094,296.6065
"95","-0.952368","258.750",0.0159504965962441,296.614735915493
