"","country_name","country_code","wals_code","X1","iso_lang_code","language_name","genus","subfamily","family","lsbranch","ssbranch","sbranch","mbranch","stock","elev_ft","elev_m","latitude","longitude","secondary_country","area","macroarea","continent","glot_features","cv_ratio","tones","rangesize","population","vehicularity","L2prop","H","H_unigram","lang.count","lang.percent","established.langs","immigrant.langs","total.speakers","mean.speakers","median.speakers","diversity.index","div.coverage","GDP"
"17","Australia","AU","dyi","dbl","dbl","Dyirbal","Northern Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,NA,"Dyirbalic","Pama-Nyungan",2542.7,775.01496,-17.83333333,145.5833333,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",2715.949364,45,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"18","Australia","AU","kly","mwp","mwp","Kala Lagaw Ya","Northern Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,NA,"Kala Lagaw La","Pama-Nyungan",111.5,33.9852,-10.11666667,142.1166667,NA,"N Australia","Papunesia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",810.9982828,930,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"19","Australia","AU","wmu","wim","wim","Wik Munkan","Northern Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,"Northern Pama","Paman","Pama-Nyungan",88.6,27.00528,-13.91666667,141.75,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","2 - Moderately low","1 - No tones",2304.97224,840,0,0.361445785,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"20","Australia","AU","wam","wmb","wmb","Wambaya","Wambayan",NA,"Mirndi",NA,NA,NA,"Barkly (Eastern Mirndi)","Mirndi",679.1,206.98968,-18.66666667,135.75,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",66586.28916,12,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"21","Australia","AU","kya","gvn","gvn","Kuku-Yalanji","Northern Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,"Northern Pama","Paman","Pama-Nyungan",2293.3,698.99784,-16,145,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",5368.365215,240,0,0,1.279129982,9.592835426,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"22","Australia","AU","yny","jao","jao","Yanyuwa","Western Pama-Nyungan",NA,"Pama-Nyungan",NA,NA,NA,"Warluwarric","Pama-Nyungan",292,89.0016,-16.41666667,137.1666667,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","5 - High","1 - No tones",16165.71279,52,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"23","Australia","AU","alw","alh","alh","Alawa","Alawa",NA,"Mangarrayi-Maran",NA,NA,NA,NA,"Maran",216.5,65.9892,-15.16666667,134.25,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",20722.23242,18,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"24","Australia","AU","mau","mph","mph","Maung","Iwaidjan",NA,"Iwaidjan",NA,NA,NA,NA,"Iwaidjan",29.5,8.9916,-11.91666667,133.5,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",762.2346044,240,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"25","Australia","AU","goo","gni","gni","Gooniyandi","Bunuban",NA,"Bunuban",NA,NA,NA,NA,"Bunuban",813.6,247.98528,-18.33333333,126.3333333,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",5706.873026,100,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"26","Australia","AU","ung","ung","ung","Ungarinjin","Worrorran",NA,"Worrorran",NA,NA,NA,NA,"Worrorran",2247.4,685.00752,-16.33333333,126,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",58837.87711,82,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
