"","X1","Latitude","Longitude","mean_hum","mean_temp","longitude"
"1",1,-0.952368,0,0.0175685515258216,298.855882629108,0
"2",2,-0.952368,1.875,0.0178160904929577,298.991725352113,1.875
"3",3,-0.952368,101.25,0.0184594529342723,297.047752347418,101.25
"4",4,-0.952368,103.125,0.018880889084507,297.517223004695,103.125
"5",5,-0.952368,105,0.0191904806338028,300.053082159624,105
"6",6,-0.952368,106.875,0.0190680984741784,300.928531690141,106.875
"7",7,-0.952368,108.75,0.0190110233568075,300.346624413146,108.75
"8",8,-0.952368,11.25,0.016424709741784,296.106295774648,11.25
"9",9,-0.952368,110.625,0.0192535618544601,297.871607981221,110.625
"10",10,-0.952368,112.5,0.0183948947183099,296.571899061033,112.5
"11",11,-0.952368,114.375,0.0181442083333333,296.275126760563,114.375
"12",12,-0.952368,116.25,0.0191823994131455,297.683100938967,116.25
"13",13,-0.952368,118.125,0.0189611186619718,299.279542253521,118.125
"14",14,-0.952368,120,0.0179099937793427,298.062276995305,120
"15",15,-0.952368,121.875,0.0177346632629108,297.950134976526,121.875
"16",16,-0.952368,123.75,0.0186507036384977,299.549242957746,123.75
"17",17,-0.952368,125.625,0.0189241881455399,300.401158450704,125.625
"18",18,-0.952368,127.5,0.0186772393192488,300.246592723005,127.5
"19",19,-0.952368,129.375,0.018874575,300.105611502347,129.375
"20",20,-0.952368,13.125,0.0164633332159624,295.286985915493,13.125
"21",21,-0.952368,131.25,0.0191076167840376,299.637649061033,131.25
"22",22,-0.952368,133.125,0.0192677707746479,298.181103286385,133.125
"23",23,-0.952368,135,0.0188443473004695,299.477950704225,135
"24",24,-0.952368,136.875,0.0189883167840376,300.26263028169,136.875
"25",25,-0.952368,138.75,0.0192561012910798,300.645234741784,138.75
"26",26,-0.952368,140.625,0.0195233562206573,301.098154929577,140.625
"27",27,-0.952368,142.5,0.0196517313380282,301.699948356808,142.5
"28",28,-0.952368,144.375,0.0195414674882629,301.810352112676,144.375
"29",29,-0.952368,146.25,0.0192672825117371,301.465732394366,146.25
"30",30,-0.952368,148.125,0.0190127181924883,301.142724178404,148.125
"31",31,-0.952368,15,0.0171021590375587,295.745355633803,15
"32",32,-0.952368,150,0.0189027571596244,301.009118544601,150
"33",33,-0.952368,151.875,0.0189653252347418,301.106584507042,151.875
"34",34,-0.952368,153.75,0.0190927449530516,301.356082159624,153.75
"35",35,-0.952368,155.625,0.0191682660798122,301.451830985915,155.625
"36",36,-0.952368,157.5,0.0191457670187793,301.284955399061,157.5
"37",37,-0.952368,159.375,0.019106260915493,301.110653755869,159.375
"38",38,-0.952368,16.875,0.0177170670187793,296.574242957746,16.875
"39",39,-0.952368,161.25,0.019146813028169,301.146809859155,161.25
"40",40,-0.952368,163.125,0.0191977656103286,301.264259389671,163.125
"41",41,-0.952368,165,0.0191627721830986,301.216453051643,165
"42",42,-0.952368,166.875,0.0191209994131455,301.065314553991,166.875
"43",43,-0.952368,168.75,0.019125760915493,301.030221830986,168.75
"44",44,-0.952368,170.625,0.0190938177230047,301.047475352113,170.625
"45",45,-0.952368,172.5,0.0190506149061033,300.991484741784,172.5
"46",46,-0.952368,174.375,0.0190457829812207,300.947261737089,174.375
"47",47,-0.952368,176.25,0.0189815900234742,300.909075117371,176.25
"48",48,-0.952368,178.125,0.018880613028169,300.787286384977,178.125
"49",49,-0.952368,18.75,0.0181974519953052,297.102583333333,18.75
"50",50,-0.952368,180,0.0188796177230047,300.723666666667,180
"51",51,-0.952368,181.875,0.0188897134976526,300.754430751174,-178.125
"52",52,-0.952368,183.75,0.0187714078638498,300.643853286385,-176.25
"53",53,-0.952368,185.625,0.0186587444835681,300.43451056338,-174.375
"54",54,-0.952368,187.5,0.0186431379107981,300.358482394366,-172.5
"55",55,-0.952368,189.375,0.0185662707746479,300.269198356808,-170.625
"56",56,-0.952368,191.25,0.018414157629108,300.055117370892,-168.75
"57",57,-0.952368,193.125,0.0183705266431925,299.997742957746,-166.875
"58",58,-0.952368,195,0.018372975,300.053768779343,-165
"59",59,-0.952368,196.875,0.0182453083333333,299.900399061033,-163.125
"60",60,-0.952368,198.75,0.0181181942488263,299.729223004695,-161.25
"61",61,-0.952368,20.625,0.0181714839201878,296.764616197183,20.625
"62",62,-0.952368,200.625,0.0180993477699531,299.754642018779,-159.375
"63",63,-0.952368,202.5,0.0180027200704225,299.647613849765,-157.5
"64",64,-0.952368,204.375,0.017840613028169,299.402360328639,-155.625
