wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
sml,Semelai,3,103,MY,164,49.9872
snc,Seneca,42.5,-77.5,US,1289.1,392.91768
snd,Senadi,9.5,-6.25,CI,1364.8,415.99104
snh,Sinhala,7,80.5,LK,2313,705.0024
snm,Sanuma,4.5,-64.66666667,BR VR,2322.8,707.98944
snt,Sentani,-2.583333333,140.5833333,ID,298.6,91.01328
som,Somali,3,45,SO,370.7,112.98936
soq,Soqotri,12.5,54,YE,2306.4,702.99072
sor,Sora,20,84.33333333,IN,1935.7,590.00136
spa,Spanish,40,-4,ES,1679.8,512.00304
squ,Squamish,49.66666667,-123.1666667,CA,247.4,75.40752
sre,Sre,11.5,108,VN,2864.2,873.00816
srn,Sirion??,-15.58333333,-64,BO,584,178.0032
sue,Suena,-7.75,147.55,PG,68.9,21.00072
sui,Sui,26,107.5,CN,2772.3,844.99704
sup,Supyire,11.5,-5.583333333,ML,1115.5,340.0044
svs,Savosavo,-9.133333333,159.8,SB,1348.4,410.99232
swa,Swahili,-6.5,39,TZ,62.3,18.98904
tab,Taba,0,127.5,ID,0,0
tac,Tacana,-13.5,-68,BO,721.8,220.00464
tag,Tagalog,15,121,PH,173.9,53.00472
tam,Tamang (Eastern),27.5,85.66666667,NP,4698.2,1432.01136
tas,Tashlhiyt,31,-5,MA,2818.2,858.98736
teh,Tehuelche,-48,-68,AR,337.9,102.99192
tel,Telugu,16,79,IN,2309.7,703.99656
ter,Tera,11,11.83333333,NG,1548.6,472.01328
tgk,Tigak,-2.716666667,150.8,PG,55.8,17.00784
tgr,Tigr??,16.5,38.5,ER,4448.8,1355.99424
tha,Thai,16,101,TH,449.5,137.0076
tib,Tibetan (Standard Spoken),30,91,CN,14724.4,4487.99712
tic,Ticuna,-4,-70.5,BR PE,357.6,108.99648
tiw,Tiwi,-11.5,131,AU,108.3,33.00984
tks,Teke (Southern),-2.333333333,14.5,CG,2690.3,820.00344
tli,Tlingit,59,-135,US,1443.4,439.94832
tlp,Tlapanec,17.08333333,-99,MX,2481.1,756.23928
tma,Tama,14.5,22,SD TD,3205.4,977.00592
tmn,Temein,11.91666667,29.41666667,SD,2696.9,822.01512
tmp,Tampulma,10.41666667,-0.583333333,GH,849.7,258.98856
tne,Temne,8.666666667,-13.08333333,SL,72.2,22.00656
toa,Toaripi,-8.333333333,146.25,PG,0,0
tok,Tarok,9,10.08333333,NG,662.7,201.99096
tol,Tol,14.66666667,-87,HN,4196.2,1279.00176
ton,Tonkawa,30.25,-96.75,US,272.6,83.08848
tpa,Totonac (Papantla),20.33333333,-97.33333333,MX,193,58.8264
tru,Trumai,-11.91666667,-53.58333333,BR,958,291.9984
try,Tiruray,6.75,124.1666667,PH,1089.2,331.98816
tsg,Tausug,6,121,PH MY ID,374,113.9952
tsi,Tsimshian (Coast),52.5,-129,US CA,5,1.524
tso,Tsou,23.5,120.75,TW,4215.9,1285.00632
ttn,Tetun,-9,126,TL,301.8,91.98864
ttu,Tsova-Tush,42.5,45.5,GE,8595.8,2619.99984
tug,Tuareg (Ahaggar),23,6,LY DZ NE,4589.9,1399.00152
tuk,Tukang Besi,-5.5,123.5,ID,0,0
tul,Tulu,12.75,75.33333333,IN,196.9,60.01512
tun,Tunica,32.66666667,-91,US,94.7,28.86456
tur,Turkish,39,35,TR,3763.1,1146.99288
tuv,Tuvan,52,95,MN RU,5082,1548.9936
twn,Tiwa (Northern),36.5,-105.5,US,10800.2,3291.90096
tza,Tzeltal (Aguacatenango),16.41666667,-92.5,MX,2488.5,758.4948
umb,UMbundu,-12.5,15,AO,5370.7,1636.98936
una,Una,-4.666666667,140,ID,6866.8,2093.00064
ung,Ungarinjin,-16.33333333,126,AU,2247.4,685.00752
urk,Urub?§-Kaapor,-2.333333333,-46.5,BR,196.9,60.01512
usa,Usan,-4.833333333,145.1666667,PG,685.7,209.00136
uzn,Uzbek (Northern),40.66666667,66.5,UZ,3448.2,1051.01136
vie,Vietnamese,10.5,106.5,VN,3.3,1.00584
wah,Wahgi,-5.833333333,144.7166667,PG,5328.1,1624.00488
wam,Wambaya,-18.66666667,135.75,AU,679.1,206.98968
wao,Waorani,-1,-76.5,EC,889.1,270.99768
wap,Wappo,38.5,-122.5,US,710.2,216.46896
war,Wari',-11.33333333,-65,BR,521.7,159.01416
wch,Wich??,-22.5,-62.58333333,AR BO,813.6,247.98528
wdo,Western Desert (Ooldea),-30.5,132,AU,495.4,150.99792
wic,Wichita,33.33333333,-97.33333333,US,829.2,252.74016
win,Wintu,41,-122.5,US,2829.6,862.46208
wiy,Wiyot,40.83333333,-124.1666667,US,0,0
wlf,Wolof,15.25,-16,SN GM,173.9,53.00472
wma,West Makian,0.5,127.5833333,ID,597.1,181.99608
wmu,Wik Munkan,-13.91666667,141.75,AU,88.6,27.00528
wnt,Wantoat,-6.166666667,146.5,PG,4491.5,1369.0092
woi,Woisika,-8.25,124.8333333,ID,2231,680.0088
wps,Wapishana,2.666666667,-60,BR GY,433.1,132.00888
wra,Warao,9.333333333,-61.66666667,VR,16.4,4.99872
wrd,Wardaman,-15.5,131,AU,354.3,107.99064
wrs,Waris,-3.166666667,141,PG ID,3723.8,1135.01424
wry,Waray (in Australia),-13.16666667,131.25,AU,111.5,33.9852
wuc,Wu,31.66666667,119.9166667,CN,19.7,6.00456
xia,Xiamen,24.5,118.1666667,CN,75.5,23.0124
xoo,!X???æ,-24,21.5,BW,3750,1143
yag,Yagua,-3.5,-72,PE,298.6,91.01328
yan,Yana,40.5,-122,US,1812.6,552.48048
yap,Yapese,9.583333333,138.1666667,FM,72.3,22.03704
yaq,Yaqui,27.5,-110.25,MX,49,14.9352
yar,Yareba,-9.5,148.5,PG,561,170.9928
yaw,Yawa,-1.75,136.25,ID,2355.6,717.98688
yay,Yay,22.41666667,104.75,VN,643,195.9864
ycn,Yucuna,-0.75,-71,CO,538.1,164.01288
yct,Yucatec,20,-89,MX,120.2,36.63696
yel,Yel?? Dnye,-11.36666667,154.1666667,PG,416.7,127.01016
yes,Yessan-Mayo,-4.166666667,142.5833333,PG,65.6,19.99488
yey,Yeyi,-20,23.5,BW NA,3120.1,951.00648
ygr,Yagaria,-6.333333333,145.4166667,PG,5285.4,1610.98992
yid,Yidiny,-17,145.75,AU,42.7,13.01496
yim,Yimas,-4.666666667,143.55,PG,62.3,18.98904
yko,Yukaghir (Kolyma),65.75,150.8333333,RU,101.7,30.99816
ykt,Yakut,62,130,RU,410.1,124.99848
yny,Yanyuwa,-16.41666667,137.1666667,AU,292,89.0016
yor,Yoruba,8,4.333333333,NG BJ,1190.9,362.98632
ytu,Yukaghir (Tundra),69,155,RU,128,39.0144
yuc,Yuchi,35.75,-86.75,US,922.1,281.05608
yul,Yulu,8.5,25.25,SS,2293.3,698.99784
yur,Yurok,41.33333333,-124,US,384.4,117.16512
yus,Yupik (Siberian),65,-173,RU,2194.9,669.00552
zan,Zande,4,26,SS CD CF,2007.9,612.00792
zqc,Zoque (Copainal?­),17,-93.25,MX,2553.4,778.27632
zul,Zulu,-30,30,ZA,4311,1313.9928
zun,Zuni,35.08333333,-108.8333333,US,6338,1931.8224
