wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
cnt,Cantonese,23,113,CN,-3.3,-1.00584
cof,Cof?­n,0.166666667,-77.16666667,CO EC,1332,405.9936
coo,Coos (Hanis),43.5,-124.1666667,US,147.3,44.89704
cre,Cree (Plains),54,-110,CA,2194.4,668.85312
cso,Chatino (Sierra Occidental),16.25,-97.33333333,MX,4026.5,1227.2772
cti,Chin (Tiddim),23.33333333,93.66666667,MM,6197.5,1888.998
ctl,Catalan,41.75,2,ES,2030.8,618.98784
cub,Cubeo,1.333333333,-70.5,CO,626.6,190.98768
cve,Chuave,-6.116666667,145.1166667,PG,5406.8,1647.99264
cyv,Cayuvava,-13.5,-65.5,BO,465.9,142.00632
dad,Dadibi,-6.55,144.5833333,PG,3376,1029.0048
dag,Daga,-10,149.3333333,PG,3356.3,1023.00024
dah,Dahalo,-2.333333333,40.5,KE,59.1,18.01368
dan,Dan,7.5,-8,LR GN CI,2378.6,724.99728
dar,Darai,24,84,NP,816.9,248.99112
ddf,Daju (Dar Fur),12.25,25.25,SD,2034.1,619.99368
der,Dla (Proper),-3.583333333,141,PG ID,1883.2,573.99936
det,Deti,-20.5,24.5,BW,3024.9,921.98952
dgb,Dagbani,9.583333333,-0.5,GH,636.5,194.0052
dgr,Dagur,48,124,CN,551.2,168.00576
die,Diegue?ño (Mesa Grande),32.66666667,-116.1666667,MX US,3149.9,960.08952
din,Dinka,8.5,28,SS,1355,413.004
dio,Diola-Fogny,13,-16.25,GM SN,111.5,33.9852
diy,Diyari,-28,139,AU,160.8,49.01184
diz,Dizi,6.166666667,36.5,ET,2762.5,842.01
djp,Djapu,-12.66666667,136,AU,141.1,43.00728
dni,Dani (Lower Grand Valley),-4.333333333,138.8333333,ID,11259.8,3431.98704
dnw,Dangal??at (Western),12.16666667,18.33333333,TD,1355,413.004
doy,Doyayo,8.666666667,13.08333333,CM,1030.2,314.00496
dre,Drehu,-21,167.25,NC,160.8,49.01184
dts,Toro So,14.41666667,-3.25,ML BF,1066.3,325.00824
dum,Dumo,-2.683333333,141.3,PG,9.8,2.98704
dyi,Dyirbal,-17.83333333,145.5833333,AU,2542.7,775.01496
efi,Efik,4.916666667,8.5,NG,118.1,35.99688
eja,Ejagham,5.416666667,8.666666667,NG CM,754.6,230.00208
eka,Ekari,-3.833333333,135.5,ID,5331.4,1625.01072
eng,English,52,0,GB IE,465.9,142.00632
epe,Epena Pedee,3,-77,CO,2637.8,804.00144
eve,Evenki,56,125,RU,2857.6,870.99648
evn,Even,68,130,RU,3464.6,1056.01008
ewe,Ewe,6.333333333,0.416666667,TG GH,141.1,43.00728
ewo,Ewondo,4,12,CM,2135.8,650.99184
eya,Eyak,60.5,-145,US,41.2,12.55776
fas,Fasu,-6.583333333,143.3333333,PG,1656.8,504.99264
fef,Fe'fe',5.25,10.16666667,CM,3248,989.9904
fij,Fijian,-17.83333333,178,FJ,3067.6,935.00448
fin,Finnish,62,25,FI,357.6,108.99648
fre,French,48,2,FR CH,416.7,127.01016
ful,Fulni??,-8,-37.5,BR,2211.3,674.00424
fur,Fur,13.5,25,SD,2729.7,832.01256
fuz,Fuzhou,26,119.5,MY TH CN,13.1,3.99288
fye,Fyem,9.583333333,9.333333333,NG,3294,1004.0112
