wals_code,Name,latitude,longitude,family,macroarea,countrycodes,values,description
cax,Campa (Axininca),-12,-74,Arawakan,South America,PE,1,No tones
cck,Chickasaw,34,-88,Muskogean,North America,US,1,No tones
ccp,Cocopa,32.33333333,-115,Hokan,North America,MX US,1,No tones
cha,Chamorro,13.45,144.75,Austronesian,Papunesia,GU,1,No tones
che,Cherokee,35.5,-83.5,Iroquoian,North America,US,2,Simple tone system
chk,Chukchi,67,-173,Chukotko-Kamchatkan,Eurasia,RU,1,No tones
chl,Chehalis (Upper),46.58333333,-123,Salishan,North America,US,1,No tones
chp,Chipewyan,59,-106,Na-Dene,North America,CA,2,Simple tone system
chq,Chinantec (Quiotepec),17.58333333,-96.66666667,Oto-Manguean,North America,MX,3,Complex tone system
chu,Nivacle,-23.5,-60.5,Matacoan,South America,PY,1,No tones
chv,Chuvash,55.5,47.5,Altaic,Eurasia,RU,1,No tones
chw,Cham (Western),12,105.5,Austronesian,Eurasia,KH,2,Simple tone system
cil,CiLuba,-6,22,Niger-Congo,Africa,CD,2,Simple tone system
ckr,Canela-Krahô,-6,-46,Macro-Ge,South America,BR,1,No tones
cle,Chinantec (Lealao),17.33333333,-95.91666667,Oto-Manguean,North America,MX,3,Complex tone system
cmn,Comanche,33.5,-101.5,Uto-Aztecan,North America,US,1,No tones
cnt,Cantonese,23,113,Sino-Tibetan,Eurasia,CN,3,Complex tone system
coo,Coos (Hanis),43.5,-124.1666667,Oregon Coast,North America,US,1,No tones
cre,Cree (Plains),54,-110,Algic,North America,CA,1,No tones
cso,Chatino (Sierra Occidental),16.25,-97.33333333,Oto-Manguean,North America,MX,3,Complex tone system
cti,Chin (Tiddim),23.33333333,93.66666667,Sino-Tibetan,Eurasia,MM,3,Complex tone system
ctl,Catalan,41.75,2,Indo-European,Eurasia,ES,1,No tones
cub,Cubeo,1.333333333,-70.5,Tucanoan,South America,CO,2,Simple tone system
cyv,Cayuvava,-13.5,-65.5,Cayuvava,South America,BO,1,No tones
dad,Dadibi,-6.55,144.5833333,Teberan-Pawaian,Papunesia,PG,2,Simple tone system
dah,Dahalo,-2.333333333,40.5,Afro-Asiatic,Africa,KE,2,Simple tone system
dan,Dan,7.5,-8,Mande,Africa,LR GN CI,3,Complex tone system
dar,Darai,24,84,Indo-European,Eurasia,NP,1,No tones
ddf,Daju (Dar Fur),12.25,25.25,Eastern Sudanic,Africa,SD,1,No tones
der,Dla (Proper),-3.583333333,141,Senagi,Papunesia,PG ID,1,No tones
det,Deti,-20.5,24.5,Khoe-Kwadi,Africa,BW,2,Simple tone system
