LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
3086,ham,Hewa,"Hewa, Sisimin","Hewa, Hewa, Sisimin",NA,NA,NA,Sepik Hill,Sepik,NA,Sepik,142.55,-5.04,Interior New Guinea,NG and Oceania
3087,sny,Saniyo-Hiyewe,"Saniyo-Hiyewe, Saniyo (Sanio), Hiyowe (Hiowe)","Saniyo-Hiyewe, Saniyo-Hiyewe, Saniyo (Sanio), Hiyowe (Hiowe)",NA,NA,NA,Sepik Hill,Sepik,NA,Sepik,142.37,-4.44,Interior New Guinea,NG and Oceania
3088,mnh,Mono,"Mono, Amono, Bili, Bubanda, Galaba, Kaga, Mpaka","Mono, Mono, Amono, Bili, Bubanda, Galaba, Kaga, Mpaka",NA,NA,NA,NA,Adamawa-Ubangi,NA,Adamawa-Ubangi,19.82,4.58,African Savannah,Africa
3092,NA,Dogon (Ben Tey),NA,Dogon (Ben Tey),NA,NA,NA,NA,Dogon,NA,Dogon,-2.57,14.51,African Savannah,Africa
3093,dbu,Dogon (Najamba),"Najamba, Bondu-So, Kindjim, Nadjamba, Bondum Dom","Dogon (Najamba), Najamba, Bondu-So, Kindjim, Nadjamba, Bondum Dom",NA,NA,NA,NA,Dogon,NA,Dogon,-3.07,14.57,African Savannah,Africa
3094,NA,Dogon (Yorno So),Yorno So,"Dogon (Yorno So), Yorno So",NA,NA,NA,NA,Dogon,NA,Dogon,-3.12,14.34,African Savannah,Africa
3095,NA,Dogon (Togo Kan),Togo Kan,"Dogon (Togo Kan), Togo Kan",NA,NA,NA,NA,Dogon,NA,Dogon,-3.2,13.58,African Savannah,Africa
3096,NA,Dogon (Nanga),Nanga,"Dogon (Nanga), Nanga",NA,NA,NA,NA,Dogon,NA,Dogon,-3.2,14.51,African Savannah,Africa
3099,ots,Otomi (Estado de México),"Otomi (Estado de México), Hñatho, Otomí de San Felipe Santiago, Otomí del Estado de México, State of Mexico Otomi","Otomi (Estado de México), Otomi (Estado de México), Hñatho, Otomí de San Felipe Santiago, Otomí del Estado de México, State of Mexico Otomi",NA,NA,NA,Otomian,Otomanguean,Oto-Manguean,"Otomanguean, Oto-Manguean",-99.61,19.88,Mesoamerica,C America
3101,NA,Neo-Aramaic (Barwar),NA,Neo-Aramaic (Barwar),Aramaic,Aramaic,Central (West Semitic),West Semitic,Semitic,NA,Semitic,43.2,37.16,Greater Mesopotamia,W and SW Eurasia
3104,kxo,Kanoé,Kapixaná,"Kanoé, Kapixaná",NA,NA,NA,NA,Kanoé,NA,Kanoé,-64.58,-12.18,NE South America,S America
3105,jbt,Djeoromitxi,"Djeoromitxi, Jabotí, Yabutí","Djeoromitxi, Djeoromitxi, Jabotí, Yabutí",NA,NA,NA,Jabutí,Macro-Ge,NA,Macro-Ge,-64.67,-12.04,NE South America,S America
3108,NA,Otí,NA,Otí,NA,NA,NA,NA,Oti,NA,Oti,-47.95,-23.46,SE South America,S America
3110,tit,Tinigua,Tiniguas,"Tinigua, Tiniguas",NA,NA,NA,NA,Tiniguan,NA,Tiniguan,-73.77,2.72,NE South America,S America
3112,spc,Caliana,"Sapé, Cariana, Chirichano","Caliana, Sapé, Cariana, Chirichano",NA,NA,NA,NA,Caliana,"Sapé, Cariana, Chirichano","Caliana, Sapé, Cariana, Chirichano",-63.24,4.94,NE South America,S America
3114,kqq,Krenak,"Aimoré, Botocudo, Nakrehé, Nakpié, Naknyanúk, Etwet, Minyãyirún, Yipoue)rok, Pojitxa, Potén, Krekmun, Bakuen, Aranã, Batachoa, Crenaq","Krenak, Aimoré, Botocudo, Nakrehé, Nakpié, Naknyanúk, Etwet, Minyãyirún, Yipoue)rok, Pojitxa, Potén, Krekmun, Bakuen, Aranã, Batachoa, Crenaq",NA,NA,NA,Krenakan,Macro-Ge,NA,Macro-Ge,-41.23,-19,SE South America,S America
3115,bnn,Bunun,"Bubukun, Bunan, Bunti, Bunum, Vonun, Vunum, Vunun, Vunung","Bunun, Bubukun, Bunan, Bunti, Bunum, Vonun, Vunum, Vunun, Vunung",NA,NA,NA,Bunun,Austronesian,NA,Austronesian,121.12,24.02,Southeast Asia,S/SE Asia
3116,uun,Pazeh,"Kulun, Kulon-Pazeh, Pazeh","Pazeh, Kulun, Kulon-Pazeh, Pazeh",NA,NA,NA,Northwest Formosan,Austronesian,NA,Austronesian,120.74,24.26,Southeast Asia,S/SE Asia
3117,d(nep),Nepali (Eastern),Nepali (spoken),"Nepali (Eastern), Nepali (spoken)",NA,Central Indo-Aryan,Indo-Aryan,Indo-Iranian,Indo-European,NA,Indo-European,87.29,26.82,Indic,S/SE Asia
3121,qum,Sipakapense,"Sipacapa Quiché, Sipacapense, Sipacapeño","Sipakapense, Sipacapa Quiché, Sipacapense, Sipacapeño",NA,NA,NA,Quichean-Mamean (Eastern Maya),Mayan,NA,Mayan,-91.45,15.15,Mesoamerica,C America
3122,bwm,Biwat,"Biwat, Munduguma, Mundugumor","Biwat, Biwat, Munduguma, Mundugumor",NA,NA,NA,NA,Yuat,NA,Yuat,143.87,-4.39,Interior New Guinea,NG and Oceania
3126,rkg,Rangkas,"Rangkas, Canpa, Chyanam, Johari, Kyonam, Saukas, Saukiya Khun, Shaukas","Rangkas, Rangkas, Canpa, Chyanam, Johari, Kyonam, Saukas, Saukiya Khun, Shaukas",NA,NA,Almora,West Himalayish,Sino-Tibetan,NA,Sino-Tibetan,80.32,29.5,Indic,S/SE Asia
3130,lnj,Leningitij,"Linngithig, Linngithigh","Leningitij, Linngithig, Linngithigh",NA,NA,Northern Pama,Paman,Pama-Nyungan,NA,Pama-Nyungan,141.5,-13,N Australia,Australia
3131,gun,Guaraní (Mbyá),"Guaraní, Mbyá, Bugre, Mbiá, Mbua, Mbyá","Guaraní (Mbyá), Guaraní, Mbyá, Bugre, Mbiá, Mbua, Mbyá",NA,NA,NA,Tupi-Guaraní,Tupian,NA,Tupian,-50.36,-25.87,SE South America,S America
3133,agb,Legbo,"Leggbó, Agbo, Gbo, Igbo, Imaban, Itigidi","Legbo, Leggbó, Agbo, Gbo, Igbo, Imaban, Itigidi",NA,NA,NA,Cross River,Benue-Congo,NA,Benue-Congo,8,6,African Savannah,Africa
3134,duo,Agta (Dupaninan),"Eastern Cagayan Agta, Dupaningan Agta","Agta (Dupaninan), Eastern Cagayan Agta, Dupaningan Agta",NA,NA,NA,Malayo-Polynesian,Austronesian,NA,Austronesian,122.08,18,Oceania,S/SE Asia
3136,adx,Tibetan (Amdo),"Amdo, Anduo, Ngambo","Tibetan (Amdo), Amdo, Anduo, Ngambo",NA,NA,Tibetan,Bodic,Sino-Tibetan,NA,Sino-Tibetan,98,38,Inner Asia,N-C Asia
3137,avi,Avikam,"Avekom, Brignan, Brinya, Gbanda, Kwakwa, Lahu","Avikam, Avekom, Brignan, Brinya, Gbanda, Kwakwa, Lahu",NA,NA,NA,NA,Kwa,NA,Kwa,-5.5,5.17,African Savannah,Africa
3138,amm,Ama,Sawiyanu,"Ama, Sawiyanu",NA,NA,NA,NA,Left May,NA,Left May,141.62,-4.22,N Coast New Guinea,NG and Oceania
3139,buu,Budu,"Bodo, Ebudu, Kibudu","Budu, Bodo, Ebudu, Kibudu",NA,NA,Bantu (narrow),Bantoid,Benue-Congo,NA,Benue-Congo,28,2,S Africa,Africa
3140,bio,Nai,"Amini, Biaka","Nai, Amini, Biaka",NA,NA,NA,NA,Kwomtari,NA,Kwomtari,141.27,-3.72,N Coast New Guinea,NG and Oceania
3141,bdr,Bajau (West Coast),"Land Bajaw, West Coast Bajao","Bajau (West Coast), Land Bajaw, West Coast Bajao",NA,NA,Greater Barito,Malayo-Polynesian,Austronesian,NA,Austronesian,116.33,6.33,Southeast Asia,S/SE Asia
3142,bxj,Bayungu,"Baiong, Baiung, Bajungu, Biong, Giong, Mulgarnoo, Pajungu, Payungu","Bayungu, Baiong, Baiung, Bajungu, Biong, Giong, Mulgarnoo, Pajungu, Payungu",NA,NA,NA,Southwestern Pama-Nyungan,Pama-Nyungan,NA,Pama-Nyungan,114,-23,S Australia,Australia
3143,cap,Chipaya,Puquina,"Chipaya, Puquina",NA,NA,NA,NA,Chipaya,NA,Chipaya,-67.83,-18.75,Andean,S America
3144,csk,Diola-Kasa,"Jola-Kasa, Bacuki, Casa, Jóola-Kaasa, Jóola-Kasa","Diola-Kasa, Jola-Kasa, Bacuki, Casa, Jóola-Kaasa, Jóola-Kasa",NA,NA,NA,NA,North Atlantic,NA,North Atlantic,-16.75,12.5,African Savannah,Africa
3145,dds,Donno So,Kamma So,"Donno So, Kamma So",NA,NA,NA,NA,Dogon,NA,Dogon,-3.58,14.33,African Savannah,Africa
3146,dhl,Dhalandji,"Dalandji, Dalendi, Djalendi, Talaindji, Talandi, Talandji, Talangee, Tallainga, Taloinga, Thalantji, Thalanyji","Dhalandji, Dalandji, Dalendi, Djalendi, Talaindji, Talandi, Talandji, Talangee, Tallainga, Taloinga, Thalantji, Thalanyji",NA,NA,NA,Southwestern Pama-Nyungan,Pama-Nyungan,NA,Pama-Nyungan,115,-22.08,S Australia,Australia
3147,gdb,Gadaba (Kondekor),"Gadaba (Pottangi Ollar), Ollar Gadaba, Ollari, Ollaro, Hallari, Allar, Hollar Gadbas, San Gadaba, Gadba, Sano","Gadaba (Kondekor), Gadaba (Pottangi Ollar), Ollar Gadaba, Ollari, Ollaro, Hallari, Allar, Hollar Gadbas, San Gadaba, Gadba, Sano",NA,NA,NA,Central Dravidian,Dravidian,NA,Dravidian,83.5,18.75,Indic,S/SE Asia
3148,guf,Gupapuyngu,"Gobabingo, Gubabwingu","Gupapuyngu, Gobabingo, Gubabwingu",NA,NA,NA,Yolngu,Pama-Nyungan,NA,Pama-Nyungan,136,-12,N Australia,Australia
3149,guw,Gungbe,"Gun, Alada, Alada-Gbe, Egun, Goun, Gu, Gugbe, Gun-Alada, Gun-Gbe, Seto-Gbe, Toli-Gbe","Gungbe, Gun, Alada, Alada-Gbe, Egun, Goun, Gu, Gugbe, Gun-Alada, Gun-Gbe, Seto-Gbe, Toli-Gbe",NA,NA,NA,Gbe,Kwa,NA,Kwa,2.5,6.5,African Savannah,Africa
3150,huc,‡Hoan,"‡Hua, ‡Hoa, ‡Hoã, ‡Hua-Owani, |Hû, |Hua","‡Hoan, ‡Hua, ‡Hoa, ‡Hoã, ‡Hua-Owani, |Hû, |Hua",NA,NA,NA,NA,!Ui-Taa,NA,!Ui-Taa,25,-25.5,S Africa,Africa
3151,khg,Kham (Dege),"Tibetan (Khams), Kam, Kang, Khamba, Khampa, Khams, Khams Bhotia, Khams-Yal","Kham (Dege), Tibetan (Khams), Kam, Kang, Khamba, Khampa, Khams, Khams Bhotia, Khams-Yal",NA,Eastern Kham Tibetan,Tibetan,Bodic,Sino-Tibetan,NA,Sino-Tibetan,98.58,31.83,Inner Asia,N-C Asia
3152,kkh,Khün,"Gon Shan, Hkun, Khuen, Khun Shan, Khyn, Tai Khun, Tai-Khuen","Khün, Gon Shan, Hkun, Khuen, Khun Shan, Khyn, Tai Khun, Tai-Khuen",NA,NA,NA,NA,Tai-Kadai,NA,Tai-Kadai,100,21,Southeast Asia,S/SE Asia
3153,kui,Kuikúro,"Kuikúro-Kalapálo, Apalakiri, Apalaquiri, Cuicutl, Guicurú, Kalapalo, Kuikuru, Kurkuro","Kuikúro, Kuikúro-Kalapálo, Apalakiri, Apalaquiri, Cuicutl, Guicurú, Kalapalo, Kuikuru, Kurkuro",NA,NA,NA,NA,Cariban,Carib,"Cariban, Carib",-53.08,-12.42,NE South America,S America
3154,kwy,Iwoyo,"Kongo (San Salvador), Congo, Kikongo, Kikoongo, Kisikongo","Iwoyo, Kongo (San Salvador), Congo, Kikongo, Kikoongo, Kisikongo",NA,NA,Bantu (narrow),Bantoid,Benue-Congo,NA,Benue-Congo,12.25,-5.5,S Africa,Africa
3155,gbb,Kaytej,"Kaytetye, Gaididj, Kaiditj, Kaititj","Kaytej, Kaytetye, Gaididj, Kaiditj, Kaititj",NA,NA,NA,Arandic,Pama-Nyungan,NA,Pama-Nyungan,134,-21,S Australia,Australia
3156,kyz,Kayabí,"Caiabi, Kajabí, Maquiri, Parua","Kayabí, Caiabi, Kajabí, Maquiri, Parua",NA,NA,NA,Tupi-Guaraní,Tupian,NA,Tupian,-55.5,-11,NE South America,S America
